Reviews,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,clean_reviews,clean_reviews2,sentiment
"Not Verified |  Never encountered ruder gate workers. They spoke to every customer like they were annoying children. I asked a question regarding my seat, I was asked to come back in an hour. When I returned an hour later the lady started to help me and the guy next to her screamed that he had already told me once to come back later. Which I had done. Uncomfortable and unnecessary. It’s not hard to talk to people nicely and give clear instructions. Saving grace is in flight outlets, wifi and cabin crew. Food is terrible.",Solo Leisure,Economy Class,Newark to Los Angeles,October 2023,no,never encountered ruder gate workers they spoke to every customer like they were annoying children i asked a question regarding my seat i was asked to come back in an hour when i returned an hour later the lady started to help me and the guy next to her screamed that he had already told me once to come back later which i had done uncomfortable and unnecessary its not hard to talk to people nicely and give clear instructions saving grace is in flight outlets wifi and cabin crew food is terrible,never encountered ruder gate workers spoke every customer like annoying children asked question regarding seat asked come back hour returned hour later lady started help guy next screamed already told come back later done uncomfortable unnecessary hard talk people nicely give clear instructions saving grace flight outlets wifi cabin crew food terrible,NEG
"Not Verified |  Our check-in bag was badly damaged. After documenting and filing a report, Alaska returned with an offer of $100. This is not enough to replace our current size bag let alone any hard case bag. I called them up and ask how am how suppose to replace my large hard luggage for $100, All they could say was that it was there policy that if you don't have a receipt of luggage purchase they only refund $100. Yet they couldn't show me where it says that on their policy. I was on another airline and they let me choose a replacement bag. I would really not recommend flying with them if you need to check your bag in!",Family Leisure,Economy Class,Seattle to San Francisco,August 2023,no,our checkin bag was badly damaged after documenting and filing a report alaska returned with an offer of 100 this is not enough to replace our current size bag let alone any hard case bag i called them up and ask how am how suppose to replace my large hard luggage for 100 all they could say was that it was there policy that if you dont have a receipt of luggage purchase they only refund 100 yet they couldnt show me where it says that on their policy i was on another airline and they let me choose a replacement bag i would really not recommend flying with them if you need to check your bag in,checkin bag badly damaged documenting filing report alaska returned offer 100 enough replace current size bag let alone hard case bag called ask suppose replace large hard luggage 100 could say policy dont receipt luggage purchase refund 100 yet couldnt show says policy another airline let choose replacement bag would really recommend flying need check bag,NEG
"✅ Trip Verified |  No business lounge or pay for it. Seats are terrible, no leg room 6 hrs sitting in a glorified armchair. Terrible food will never book again with Alaska Airlines.",Business,Business Class,Orlando to San Francisco,October 2023,no,    no business lounge or pay for it seats are terrible no leg room 6 hrs sitting in a glorified armchair terrible food will never book again with alaska airlines,business lounge pay seats terrible leg room 6 hrs sitting glorified armchair terrible food never book alaska airlines,NEG
"✅ Trip Verified |   The initial flight from Orlando was 1 hour and 40 minutes late. While I understand the crew has a specific amount of sleep assigned, that policy is not passed down to their patrons. I missed my connecting flight to Eugene Oregon because of the crew’s right to sleep, causing a 13 hour delay because there was not another flight until midnight. The parties that were to pick me up had to make the 2 hour drive from Seal Rock 2x that day. Returning, I arrived at the Eugene airport at 6:30 pm on 10/10/23 because My son and his wife had to work and could not provide transportation on 10/11/23 when my flight was scheduled. I tried to sleep but was told to move to the lobby. This caused me to go through TSA 2x. The automated announcement railed every few minutes incessantly about unattended baggage. The floor was cleaned for what felt like hours. No sleep may have been to be expected. My ticket listed Gate F, which does not exist. The telemonitor said Gate A4. Loading started at 12:59. I got concerned about 1:00 because I heard nothing. The flight was at Gate B1. I got there by 1:06 and was told that I had to reschedule. I arrived in Seattle at approximately 6, tired and unrested. I went to one of the restaurants for dinner. From 6:30-10:30 while waiting on the flight to Orlando, I ate and drank 4 glasses of wine. I still have gotten any sleep. My flight did not leave until 10:20 pm. I arrived, was allowed on, and sat down glad to have an opportunity to sleep. That would not happen. The FA said to come with her. I complied. The staff at the desk told me that I stumbled therefore I could not get on the plane. I hadn't been belligerent, aggressive, or bothered anyone. I argued with him for a moment. He had already called the police. I left the vicinity. The staff said my ticket would be refunded in 5-7 business days. I had only $130 and other tickets were running at min $400. I sat in the Seattle Airport all night because nothing was open and I did not know what to do. Staff saw me again Thurs. am, again with no sleep, and again called the cops on me, assumingly because he decided that I was not to be on the premises. I answered to the police that I had had a ticket, that I had a right to be there, and I would appreciate them not bothering me. I called Customer Service. No assistance. I went to the Alaskan CS Desk and spoke with Anthony. He was very helpful. Derrick, his Supervisor, very professional, said that he could not override the decision to allow me to fly with Alaska Airlines due to what that staff wrote in his report - I had harassed staff & become aggressive with the police, which is clearly not true if you review the camera footage I asked where I should stay and Derrick told me anywhere it did not interfere with their employment. Of which I agreed, stating that I had not done that previously. I told Derrick that he needed to tell his employee to stop calling the police on me. Due only to borrowing money from my 82 year old mother, I finally arrived at MCO airport at 10:30 am Fri am . I went to get my baggage CS They were locked. I called Alaska Airline CS again and was told that I would have to wait until 2:30 pm. At 2:45 pm there was still no employee there. ",Solo Leisure,Economy Class,Seattle to Orlando via Eugene,October 2023,no,     the initial flight from orlando was 1 hour and 40 minutes late while i understand the crew has a specific amount of sleep assigned that policy is not passed down to their patrons i missed my connecting flight to eugene oregon because of the crews right to sleep causing a 13 hour delay because there was not another flight until midnight the parties that were to pick me up had to make the 2 hour drive from seal rock 2x that day returning i arrived at the eugene airport at 630 pm on 101023 because my son and his wife had to work and could not provide transportation on 101123 when my flight was scheduled i tried to sleep but was told to move to the lobby this caused me to go through tsa 2x the automated announcement railed every few minutes incessantly about unattended baggage the floor was cleaned for what felt like hours no sleep may have been to be expected my ticket listed gate f which does not exist the telemonitor said gate a4 loading started at 1259 i got concerned about 100 because i heard nothing the flight was at gate b1 i got there by 106 and was told that i had to reschedule i arrived in seattle at approximately 6 tired and unrested i went to one of the restaurants for dinner from 6301030 while waiting on the flight to orlando i ate and drank 4 glasses of wine i still have gotten any sleep my flight did not leave until 1020 pm i arrived was allowed on and sat down glad to have an opportunity to sleep that would not happen the fa said to come with her i complied the staff at the desk told me that i stumbled therefore i could not get on the plane i hadnt been belligerent aggressive or bothered anyone i argued with him for a moment he had already called the police i left the vicinity the staff said my ticket would be refunded in 57 business days i had only 130 and other tickets were running at min 400 i sat in the seattle airport all night because nothing was open and i did not know what to do staff saw me again thurs am again with no sleep and again called the cops on me assumingly because he decided that i was not to be on the premises i answered to the police that i had had a ticket that i had a right to be there and i would appreciate them not bothering me i called customer service no assistance i went to the alaskan cs desk and spoke with anthony he was very helpful derrick his supervisor very professional said that he could not override the decision to allow me to fly with alaska airlines due to what that staff wrote in his report  i had harassed staff  become aggressive with the police which is clearly not true if you review the camera footage i asked where i should stay and derrick told me anywhere it did not interfere with their employment of which i agreed stating that i had not done that previously i told derrick that he needed to tell his employee to stop calling the police on me due only to borrowing money from my 82 year old mother i finally arrived at mco airport at 1030 am fri am  i went to get my baggage cs they were locked i called alaska airline cs again and was told that i would have to wait until 230 pm at 245 pm there was still no employee there ,initial flight orlando 1 hour 40 minutes late understand crew specific amount sleep assigned policy passed patrons missed connecting flight eugene oregon crews right sleep causing 13 hour delay another flight midnight parties pick make 2 hour drive seal rock 2x day returning arrived eugene airport 630 pm 101023 son wife work could provide transportation 101123 flight scheduled tried sleep told move lobby caused go tsa 2x automated announcement railed every minutes incessantly unattended baggage floor cleaned felt like hours sleep may expected ticket listed gate f exist telemonitor said gate a4 loading started 1259 got concerned 100 heard nothing flight gate b1 got 106 told reschedule arrived seattle approximately 6 tired unrested went one restaurants dinner 6301030 waiting flight orlando ate drank 4 glasses wine still gotten sleep flight leave 1020 pm arrived allowed sat glad opportunity sleep would happen fa said come complied staff desk told stumbled therefore could get plane hadnt belligerent aggressive bothered anyone argued moment already called police left vicinity staff said ticket would refunded 57 business days 130 tickets running min 400 sat seattle airport night nothing open know staff saw thurs sleep called cops assumingly decided premises answered police ticket right would appreciate bothering called customer service assistance went alaskan cs desk spoke anthony helpful derrick supervisor professional said could override decision allow fly alaska airlines due staff wrote report harassed staff become aggressive police clearly true review camera footage asked stay derrick told anywhere interfere employment agreed stating done previously told derrick needed tell employee stop calling police due borrowing money 82 year old mother finally arrived mco airport 1030 fri went get baggage cs locked called alaska airline cs told would wait 230 pm 245 pm still employee,NEU
"✅ Trip Verified |   Best airline I have flown with. The staff were very friendly and the seating was perfect, sitting only two to a row was much more enjoyable for me than sitting three to a row. Captain and flight attendants were very communicative about the delay experienced on the flight home, and did a good job at making sure the passengers felt comfortable. Will be flying with Alaska Air again in the future.",Solo Leisure,Economy Class,Victoria to Seattle,August 2023,yes,     best airline i have flown with the staff were very friendly and the seating was perfect sitting only two to a row was much more enjoyable for me than sitting three to a row captain and flight attendants were very communicative about the delay experienced on the flight home and did a good job at making sure the passengers felt comfortable will be flying with alaska air again in the future,best airline flown staff friendly seating perfect sitting two row much enjoyable sitting three row captain flight attendants communicative delay experienced flight home good job making sure passengers felt comfortable flying alaska air future,POS
"Not Verified |  Flight was delayed several hours, I believe due to staffing issues. We were issued a 12.00 food voucher and 75.00 travel voucher. Our friends who took the LAX to ZIH received 125.00 travel voucher. While I appreciate the gesture, Alaska agent's reasoning was not informative. I fly Alaska minimum of 4 round trips annually and have been happy with the service. This was a huge disappointment.",Couple Leisure,Economy Class,Los Angeles to Zihuatanejo,September 2023,yes,flight was delayed several hours i believe due to staffing issues we were issued a 1200 food voucher and 7500 travel voucher our friends who took the lax to zih received 12500 travel voucher while i appreciate the gesture alaska agents reasoning was not informative i fly alaska minimum of 4 round trips annually and have been happy with the service this was a huge disappointment,flight delayed several hours believe due staffing issues issued 1200 food voucher 7500 travel voucher friends took lax zih received 12500 travel voucher appreciate gesture alaska agents reasoning informative fly alaska minimum 4 round trips annually happy service huge disappointment,NEG
"✅ Trip Verified |  A lead member running the Seattle to Reno flight on Sunday evening at 8:55 out of Aeatac airport was the most rude customer service agent I have ever endured. I got to the gate 20 min before takeoff and asked to switch my flight, he said no, I offered to purchase a whole new ticket, he said no. I went online and showed him i was buying a ticket and they were available, he said i will refuse to allow you to board “don’t waste your money you’re not getting on” and then let 3 more people board after. It was a horrible experience and i will never fly Alaska out of Seattle again. That was a nightmare, they kept moving the goalposts as to why i couldn't get on.",Business,Economy Class,Seattle to Reno,September 2023,no,    a lead member running the seattle to reno flight on sunday evening at 855 out of aeatac airport was the most rude customer service agent i have ever endured i got to the gate 20 min before takeoff and asked to switch my flight he said no i offered to purchase a whole new ticket he said no i went online and showed him i was buying a ticket and they were available he said i will refuse to allow you to board dont waste your money youre not getting on and then let 3 more people board after it was a horrible experience and i will never fly alaska out of seattle again that was a nightmare they kept moving the goalposts as to why i couldnt get on,lead member running seattle reno flight sunday evening 855 aeatac airport rude customer service agent ever endured got gate 20 min takeoff asked switch flight said offered purchase whole new ticket said went online showed buying ticket available said refuse allow board dont waste money youre getting let 3 people board horrible experience never fly alaska seattle nightmare kept moving goalposts couldnt get,NEG
"✅ Trip Verified |  I was expecting very little and was pleasantly surprised. Boarding was orderly, greeting was welcoming and seat was standard but perfectly comfortable for a 5 hour trip. Great inexpensive Wi Fi was available which is rare out of Kona these days. Sole flight attendant up front worked her tail off in a gracious, efficient manner which is also rare these days. The meal was as good as it gets and the option to pre order online was appreciated. Honestly, I’ve avoided the Max until now and still wonder about its safety but the experience was comfortable and above par. Compared to similar recent flights on Delta, United, and American, this was, by far the best.",Solo Leisure,First Class,Kona to San Diego,September 2023,yes,    i was expecting very little and was pleasantly surprised boarding was orderly greeting was welcoming and seat was standard but perfectly comfortable for a 5 hour trip great inexpensive wi fi was available which is rare out of kona these days sole flight attendant up front worked her tail off in a gracious efficient manner which is also rare these days the meal was as good as it gets and the option to pre order online was appreciated honestly ive avoided the max until now and still wonder about its safety but the experience was comfortable and above par compared to similar recent flights on delta united and american this was by far the best,expecting little pleasantly surprised boarding orderly greeting welcoming seat standard perfectly comfortable 5 hour trip great inexpensive wi fi available rare kona days sole flight attendant front worked tail gracious efficient manner also rare days meal good gets option pre order online appreciated honestly ive avoided max still wonder safety experience comfortable par compared similar recent flights delta united american far best,POS
"Not Verified |  Delayed in DC 4 hours for the weather, ok no problem, but by the time they rebooked me my total flight time went from 29 hours to 59 hours. A total of 30 extra hours than my original booking. Plus I lost all the seats I paid for in original booking and had random seats. Alaska airlines cost me time on vacation time with my family and 30 extra hours. Alaska airlines is the worst airline I have ever flown and I've flown spirit and southwest. ",Family Leisure,Economy Class,,September 2023,no,delayed in dc 4 hours for the weather ok no problem but by the time they rebooked me my total flight time went from 29 hours to 59 hours a total of 30 extra hours than my original booking plus i lost all the seats i paid for in original booking and had random seats alaska airlines cost me time on vacation time with my family and 30 extra hours alaska airlines is the worst airline i have ever flown and ive flown spirit and southwest ,delayed dc 4 hours weather ok problem time rebooked total flight time went 29 hours 59 hours total 30 extra hours original booking plus lost seats paid original booking random seats alaska airlines cost time vacation time family 30 extra hours alaska airlines worst airline ever flown ive flown spirit southwest,NEG
"✅ Trip Verified |  Alaska cancelled our flight from Vancouver and Cancun when doing an online check in on August 27. Next day early morning flight. No email received. We called back a few hours later and were put on a connecting flight via AA (Dallas). Same thing on return flight on September 1st. Just cancelled, no alternatives given. After a few phone calls (and a cut short vacation trip), they put us on a connecting flight via Austin TX and had to pay for baggage again- even though the agent told us it was otherwise. In short, we were left on our own to sort things out, we were on the edge of cancelling our entire trip because no one one offered us any alternatives. I'll give them a zero rating for what they did to us - for a trip we had planned with our kids. Very very stressful and will probably never use this airline anymore.",Solo Leisure,Economy Class,Vancouver to Cancun via seattle,August 2023,no,    alaska cancelled our flight from vancouver and cancun when doing an online check in on august 27 next day early morning flight no email received we called back a few hours later and were put on a connecting flight via aa dallas same thing on return flight on september 1st just cancelled no alternatives given after a few phone calls and a cut short vacation trip they put us on a connecting flight via austin tx and had to pay for baggage again even though the agent told us it was otherwise in short we were left on our own to sort things out we were on the edge of cancelling our entire trip because no one one offered us any alternatives ill give them a zero rating for what they did to us  for a trip we had planned with our kids very very stressful and will probably never use this airline anymore,alaska cancelled flight vancouver cancun online check august 27 next day early morning flight email received called back hours later put connecting flight via aa dallas thing return flight september 1st cancelled alternatives given phone calls cut short vacation trip put us connecting flight via austin tx pay baggage even though agent told us otherwise short left sort things edge cancelling entire trip one one offered us alternatives ill give zero rating us trip planned kids stressful probably never use airline anymore,NEG
"Not Verified |  The flight was fine. I choose Alaska because I find them reliable. My issue is regarding their lost and found. I left my phone onboard the plane. My fault I know. Maybe 20 - 30min after I leave the plane, I was in seat 9D so I was one of the first to offload. I immediately seek assistance. The baggage claim agent on 9/02, did a lot to try and help me. He tried calling the crew/gate agent or the cleaning service to see if they could look for my phone. We told me that everyone was gone because it was a late flight. Early in the morning is when the plane will be searched and cleaned for its next flight. I return on 9/03 to baggage claim to see if anything was turned in. These were of no help. They told me to file a claim (I did that the night before). They asked me to call the customer service number, I said with what phone? I stayed at the desk for 40 min on hold. Tried asking the baggage claim manager for assistance, she laughed and walked away. According to my find your phone, my phone was in Reno then California and now Mexico. I kept trying to have an agent contact the crew or gate agents so that my seat could be thoroughly checked. I was told there is no way to connect this people. Which I find strange. If the pilot's parents died, no one can contact them to give the news? I think not. Currently, I was told that my phone was not on the San Fran Return flight and may still be in Mexico. The issue is the lack of efficiency and protocol for lost items. If the plane was thoroughly checked on 9/02, my phone would be in Seattle (where I am). If it was thoroughly check in Reno or Bakersfield my phone would be closer to being returned to me. Now its in Mexico? I have asked multiple agents what happens when my phone is not returned? What is my compensation? No one has answered my questions. I am very confused and disappointed with this process. Its also very clear the planes are not cleaned or inspected between flights. Attached are photos of my phones journey. Seattle Pic is where my phone was when we landed to our destination in Seattle. The Mexico Pic: Is where my phone is/was, again after they ""clean"" and thoroughly check the planes. ",Couple Leisure,Premium Economy,Burbank to Seattle,September 2023,yesClose,the flight was fine i choose alaska because i find them reliable my issue is regarding their lost and found i left my phone onboard the plane my fault i know maybe 20  30min after i leave the plane i was in seat 9d so i was one of the first to offload i immediately seek assistance the baggage claim agent on 902 did a lot to try and help me he tried calling the crewgate agent or the cleaning service to see if they could look for my phone we told me that everyone was gone because it was a late flight early in the morning is when the plane will be searched and cleaned for its next flight i return on 903 to baggage claim to see if anything was turned in these were of no help they told me to file a claim i did that the night before they asked me to call the customer service number i said with what phone i stayed at the desk for 40 min on hold tried asking the baggage claim manager for assistance she laughed and walked away according to my find your phone my phone was in reno then california and now mexico i kept trying to have an agent contact the crew or gate agents so that my seat could be thoroughly checked i was told there is no way to connect this people which i find strange if the pilots parents died no one can contact them to give the news i think not currently i was told that my phone was not on the san fran return flight and may still be in mexico the issue is the lack of efficiency and protocol for lost items if the plane was thoroughly checked on 902 my phone would be in seattle where i am if it was thoroughly check in reno or bakersfield my phone would be closer to being returned to me now its in mexico i have asked multiple agents what happens when my phone is not returned what is my compensation no one has answered my questions i am very confused and disappointed with this process its also very clear the planes are not cleaned or inspected between flights attached are photos of my phones journey seattle pic is where my phone was when we landed to our destination in seattle the mexico pic is where my phone iswas again after they clean and thoroughly check the planes ,flight fine choose alaska find reliable issue regarding lost found left phone onboard plane fault know maybe 20 30min leave plane seat 9d one first offload immediately seek assistance baggage claim agent 902 lot try help tried calling crewgate agent cleaning service see could look phone told everyone gone late flight early morning plane searched cleaned next flight return 903 baggage claim see anything turned help told file claim night asked call customer service number said phone stayed desk 40 min hold tried asking baggage claim manager assistance laughed walked away according find phone phone reno california mexico kept trying agent contact crew gate agents seat could thoroughly checked told way connect people find strange pilots parents died one contact give news think currently told phone san fran return flight may still mexico issue lack efficiency protocol lost items plane thoroughly checked 902 phone would seattle thoroughly check reno bakersfield phone would closer returned mexico asked multiple agents happens phone returned compensation one answered questions confused disappointed process also clear planes cleaned inspected flights attached photos phones journey seattle pic phone landed destination seattle mexico pic phone iswas clean thoroughly check planes,NEU
