Reviews,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,clean_reviews,clean_reviews2,sentiment
"✅ Trip Verified |  I fly Southwest a lot and normally I am happy with the flight and the people so it saddens me to have to write this. I'm disabled and going to DCA I had to walk through the airport because the people pushing the wheelchairs were rude. Then to make it worse, I make it to the gate and the Southwest employee says ""you can't walk down this shoe way to the plane"" after I advise that I need a wheelchair. I was so embarrassed that I just sat and cried and when it was time to board I asked a passenger who was also disabled and received rude service if she wanted to walk together and help each other. Then to make matters worse when I was due to return the flight got delayed but nobody said anything. They just walking past us looking as if it was necessary for us to know what was going on. We waited almost 45 min to an hour before we could board. Just terrible customer service all around the board.",Solo Leisure,Economy Class,Atlanta to Washington,February 2024,no,    i fly southwest a lot and normally i am happy with the flight and the people so it saddens me to have to write this im disabled and going to dca i had to walk through the airport because the people pushing the wheelchairs were rude then to make it worse i make it to the gate and the southwest employee says you cant walk down this shoe way to the plane after i advise that i need a wheelchair i was so embarrassed that i just sat and cried and when it was time to board i asked a passenger who was also disabled and received rude service if she wanted to walk together and help each other then to make matters worse when i was due to return the flight got delayed but nobody said anything they just walking past us looking as if it was necessary for us to know what was going on we waited almost 45 min to an hour before we could board just terrible customer service all around the board,fly southwest lot normally happy flight people saddens write im disabled going dca walk airport people pushing wheelchairs rude make worse make gate southwest employee says cant walk shoe way plane advise need wheelchair embarrassed sat cried time board asked passenger also disabled received rude service wanted walk together help make matters worse due return flight got delayed nobody said anything walking past us looking necessary us know going waited almost 45 min hour could board terrible customer service around board,NEG
"✅ Trip Verified | Worst business practice I’ve seen. They canceled my flight and did not notify me. The only explanation they gave was, it was a glitch in their system. Found out I had no flight when I tried to check in. When I eventually got ahold of someone the only choice they gave me was to rebook my flight at a much higher price.",Solo Leisure,Economy Class,Albuquerque NM to Panama City FL via Houston,February 2024,no,   worst business practice ive seen they canceled my flight and did not notify me the only explanation they gave was it was a glitch in their system found out i had no flight when i tried to check in when i eventually got ahold of someone the only choice they gave me was to rebook my flight at a much higher price,worst business practice ive seen canceled flight notify explanation gave glitch system found flight tried check eventually got ahold someone choice gave rebook flight much higher price,NEG
"✅ Trip Verified |  This review is for the Southwest hotel concierge. I usually book hotels through Southwest for the rewards points. On the last booking of 12/23, I was charged an additional $900+ the day after checking out. I made two inquiries to Southwest as to why and the first response was a link to understanding hotel charges. The second expressed concern, asked for proof, which I sent a copy of my credit card statement, and was told to expect a reply answer in 3 to 5 business days which never came. I replied to this email 3 weeks later asking for an update and then 2 weeks after since I did not get a reply, nothing yet. All I asked was for a reason as why the double charge. I'm a person of habit and been flying only Southwest for at least 20 years. I will probably continue using the airline for flights, but not their extended services.",Solo Leisure,Economy Class,Portland to El Paso,December 2023,yes,    this review is for the southwest hotel concierge i usually book hotels through southwest for the rewards points on the last booking of 1223 i was charged an additional 900 the day after checking out i made two inquiries to southwest as to why and the first response was a link to understanding hotel charges the second expressed concern asked for proof which i sent a copy of my credit card statement and was told to expect a reply answer in 3 to 5 business days which never came i replied to this email 3 weeks later asking for an update and then 2 weeks after since i did not get a reply nothing yet all i asked was for a reason as why the double charge im a person of habit and been flying only southwest for at least 20 years i will probably continue using the airline for flights but not their extended services,review southwest hotel concierge usually book hotels southwest rewards points last booking 1223 charged additional 900 day checking made two inquiries southwest first response link understanding hotel charges second expressed concern asked proof sent copy credit card statement told expect reply answer 3 5 business days never came replied email 3 weeks later asking update 2 weeks since get reply nothing yet asked reason double charge im person habit flying southwest least 20 years probably continue using airline flights extended services,NEU
"Not Verified |   We had the worst flight attendant on flight 1735, we were told that if we paid extra to board early we can save seats for our family members. The flight attendant was so rude and said that the person at the ticket counter wasn’t a flight attendant. She then signaled people to sit on the seats we were saving for 2 family members, one of us is disabled and the other one is partial medical injured. She was so condescending and rude, even made a comment that “if I can stop being Interrupted, I can get back to my introduction” - not the attitude of a flight attendant. I’m beginning to think that these flight attendant’s instigate negative energy in order to create a hostile atmosphere so that they can kick you off the plane if you say something. This one needs to go home or at least some rest. Not an enjoyable flight on our way to a family funeral.",Couple Leisure,Economy Class,Ontario to Cancun via Phoenix,February 2024,no,we had the worst flight attendant on flight 1735 we were told that if we paid extra to board early we can save seats for our family members the flight attendant was so rude and said that the person at the ticket counter wasnt a flight attendant she then signaled people to sit on the seats we were saving for 2 family members one of us is disabled and the other one is partial medical injured she was so condescending and rude even made a comment that if i can stop being interrupted i can get back to my introduction  not the attitude of a flight attendant im beginning to think that these flight attendants instigate negative energy in order to create a hostile atmosphere so that they can kick you off the plane if you say something this one needs to go home or at least some rest not an enjoyable flight on our way to a family funeral,worst flight attendant flight 1735 told paid extra board early save seats family members flight attendant rude said person ticket counter wasnt flight attendant signaled people sit seats saving 2 family members one us disabled one partial medical injured condescending rude even made comment stop interrupted get back introduction attitude flight attendant im beginning think flight attendants instigate negative energy order create hostile atmosphere kick plane say something one needs go home least rest enjoyable flight way family funeral,NEG
"Not Verified |  I was very disappointed with the flight attendants. They were complaining about their lack of pay and that they didn’t get paid equally to the pilots. They were also complaining about the fact that they didn’t get paid until the passengers were all seats and the door was closed. I don’t think they should have been complaining about the airline not taking care of them. Let alone in front of customers. This went on for almost the entire 3 hours of the flight. It must be a big problem as the connecting flight was also a discussion the same topic.  I really didn’t want to hear about their problems of work. I did contact customer service to find out that they were not willing to listen and referring me to the airline website. So I did, only to receive an automated email back. Stating they were sorry for any inconvenience. Needless to say I am not going to make the return trip with this airline. It may cost more but I guess you do get what you pay for. I just wanted to give a little feedback to the airline. They are just like a lot of other companies “ it’s all about the dollar, not the customer experience.",Solo Leisure,Economy Class,Atlanta to Colorado Springs,January 2024,no,i was very disappointed with the flight attendants they were complaining about their lack of pay and that they didnt get paid equally to the pilots they were also complaining about the fact that they didnt get paid until the passengers were all seats and the door was closed i dont think they should have been complaining about the airline not taking care of them let alone in front of customers this went on for almost the entire 3 hours of the flight it must be a big problem as the connecting flight was also a discussion the same topic  i really didnt want to hear about their problems of work i did contact customer service to find out that they were not willing to listen and referring me to the airline website so i did only to receive an automated email back stating they were sorry for any inconvenience needless to say i am not going to make the return trip with this airline it may cost more but i guess you do get what you pay for i just wanted to give a little feedback to the airline they are just like a lot of other companies  its all about the dollar not the customer experience,disappointed flight attendants complaining lack pay didnt get paid equally pilots also complaining fact didnt get paid passengers seats door closed dont think complaining airline taking care let alone front customers went almost entire 3 hours flight must big problem connecting flight also discussion topic really didnt want hear problems work contact customer service find willing listen referring airline website receive automated email back stating sorry inconvenience needless say going make return trip airline may cost guess get pay wanted give little feedback airline like lot companies dollar customer experience,NEG
"Not Verified |  Look elsewhere. I have flown with Southwest almost exclusively for the last 20 years, Can't do it anymore. They will Cancel your Flight for any reason. Presently sitting in Oakland for 5 extra hours. Thats if they dont cancel that flight. I have been stranded by them more then I can Count. SWA is now the worst airline.",Business,Economy Class,San Diego to ortland,February 2024,no,look elsewhere i have flown with southwest almost exclusively for the last 20 years cant do it anymore they will cancel your flight for any reason presently sitting in oakland for 5 extra hours thats if they dont cancel that flight i have been stranded by them more then i can count swa is now the worst airline,look elsewhere flown southwest almost exclusively last 20 years cant anymore cancel flight reason presently sitting oakland 5 extra hours thats dont cancel flight stranded count swa worst airline,NEG
"Not Verified | SW is a total joke, our connecting flight from Sac. to Portland was cancelled due to bad weather in LV. I understand that can happen, but SW did little to nothing to get us to Portland the following day. SW's great idea was Sac to Ontario to Denver to Portland. 10 hours to get from Sac. to Portland, I could have rented a car and beat SW back to my hometown. Clowns!!",Business,Premium Economy,Indianapolis to Portland,February 2024,no,sw is a total joke our connecting flight from sac to portland was cancelled due to bad weather in lv i understand that can happen but sw did little to nothing to get us to portland the following day sws great idea was sac to ontario to denver to portland 10 hours to get from sac to portland i could have rented a car and beat sw back to my hometown clowns,sw total joke connecting flight sac portland cancelled due bad weather lv understand happen sw little nothing get us portland following day sws great idea sac ontario denver portland 10 hours get sac portland could rented car beat sw back hometown clowns,NEG
"Not Verified |  We booked a flight from Milwaukee to Cancun with one layover in Kansas city, upon arriving at the airport we were told of change of flight 40 minutes earlier! Problem to Baltimore! This is completely out of the way. We were to arrive in Cancun at 1:15 but with this new flight now 4:15. Today is our anniversary and we have to put up with this because they can't run a company! I'm hoping this will be the last time having to deal with them.",Couple Leisure,Economy Class,Milwaukee to Cancun via Kansas City,January 2024,no,we booked a flight from milwaukee to cancun with one layover in kansas city upon arriving at the airport we were told of change of flight 40 minutes earlier problem to baltimore this is completely out of the way we were to arrive in cancun at 115 but with this new flight now 415 today is our anniversary and we have to put up with this because they cant run a company im hoping this will be the last time having to deal with them,booked flight milwaukee cancun one layover kansas city upon arriving airport told change flight 40 minutes earlier problem baltimore completely way arrive cancun 115 new flight 415 today anniversary put cant run company im hoping last time deal,NEU
Not Verified | A great flight at a reasonable price! The 2 free checked baggage is awesome and customer service from start to finish was excellent. No assigned seating wasn’t an issue. Seats are fairly comfortable and at 6’4” I had enough leg room to be comfortable. Thanks Southwest!,Solo Leisure,Economy Class,Detroit to Salt Lake City via Chicago,January 2024,yes,a great flight at a reasonable price the 2 free checked baggage is awesome and customer service from start to finish was excellent no assigned seating wasnt an issue seats are fairly comfortable and at 64 i had enough leg room to be comfortable thanks southwest,great flight reasonable price 2 free checked baggage awesome customer service start finish excellent assigned seating wasnt issue seats fairly comfortable 64 enough leg room comfortable thanks southwest,POS
"✅ Trip Verified |  Horrible, we booked as a family of 10, expected to get together, and paid more than the standard flight ticket. Unfortunately, we were displaced around the flight, and they had no priority. Never do any group booking and advertise to family and friends. It’s just like Spirit Airlines, but a little bit of cushion on the seat, free bags, and a couple more inches.",Family Leisure,Economy Class,Philadelphia to Houston via San Antonio,January 2024,noClose,    horrible we booked as a family of 10 expected to get together and paid more than the standard flight ticket unfortunately we were displaced around the flight and they had no priority never do any group booking and advertise to family and friends its just like spirit airlines but a little bit of cushion on the seat free bags and a couple more inches,horrible booked family 10 expected get together paid standard flight ticket unfortunately displaced around flight priority never group booking advertise family friends like spirit airlines little bit cushion seat free bags couple inches,NEG
Not Verified |  Mary At customer service just hung in there throughout the worst cell phone reception I’ve experienced in my life ! to get our tickets done. Just incredible patient and determination. Pair that up with no luggage fee and no change fees I will never fly another airline as long as Southwest has the route!,Family Leisure,Economy Class,San Diego to San Jose del cabo,January 2024,yes,mary at customer service just hung in there throughout the worst cell phone reception ive experienced in my life  to get our tickets done just incredible patient and determination pair that up with no luggage fee and no change fees i will never fly another airline as long as southwest has the route,mary customer service hung throughout worst cell phone reception ive experienced life get tickets done incredible patient determination pair luggage fee change fees never fly another airline long southwest route,NEG
"✅ Trip Verified |  On time departure and arrival notwithstanding a midflight medical emergency which appeared to have been resolved prior to landing in FLL. Outbound flight on 737-700 and inbound flight on 737-800. ICE worked flawlessly on both flights. On both flights, flight crew were courteous and provided the usual Southwest friendly no-frills service.",Couple Leisure,Economy Class,Dallas to Fort Lauderdale,December 2023,yes,    on time departure and arrival notwithstanding a midflight medical emergency which appeared to have been resolved prior to landing in fll outbound flight on 737700 and inbound flight on 737800 ice worked flawlessly on both flights on both flights flight crew were courteous and provided the usual southwest friendly nofrills service,time departure arrival notwithstanding midflight medical emergency appeared resolved prior landing fll outbound flight 737700 inbound flight 737800 ice worked flawlessly flights flights flight crew courteous provided usual southwest friendly nofrills service,POS
"✅ Trip Verified |  We had the worst flying experience of our life. We were greeted by employees who were completely unhelpful yelling at as for using the wrong kiosk and rather than help, made rude remarks. A lost every flight we were on got delayed. We flew out of the Philadelphia airport and showed up over 2 hours early for our flight the airport economy parking is partly shut down for rehab. There was zero signs to direct us to the new entrance we had to follow a shuttle bus after attempting to circle the airport 4 times. We made it to the check in with 45-50 min to take off. As I explained the south west employees treated us like trash. My wife is 28 weeks pregnant and was almost in tears. We missed our flight and the only decent employee we encountered was the one at the gate who quickly rebooked us. ",Family Leisure,Economy Class,Philadelphia to El Paso,January 2024,no,    we had the worst flying experience of our life we were greeted by employees who were completely unhelpful yelling at as for using the wrong kiosk and rather than help made rude remarks a lost every flight we were on got delayed we flew out of the philadelphia airport and showed up over 2 hours early for our flight the airport economy parking is partly shut down for rehab there was zero signs to direct us to the new entrance we had to follow a shuttle bus after attempting to circle the airport 4 times we made it to the check in with 4550 min to take off as i explained the south west employees treated us like trash my wife is 28 weeks pregnant and was almost in tears we missed our flight and the only decent employee we encountered was the one at the gate who quickly rebooked us ,worst flying experience life greeted employees completely unhelpful yelling using wrong kiosk rather help made rude remarks lost every flight got delayed flew philadelphia airport showed 2 hours early flight airport economy parking partly shut rehab zero signs direct us new entrance follow shuttle bus attempting circle airport 4 times made check 4550 min take explained south west employees treated us like trash wife 28 weeks pregnant almost tears missed flight decent employee encountered one gate quickly rebooked us,NEG
"Not Verified |   A flight attendant was extremely rude to the elderly, wheelchair-bound passenger seated next to me for unzipping her dog's crate just enough for him to stick his head out. The crate was on the floor beneath the seat in front. Rather than politely telling her that the case must be fully closed, he treated her like a child and loudly demanded that she close it immediately. I was appalled that a Southwest employee would be so unnecessarily rude to a passenger.",Family Leisure,Economy Class,Albuquerqe to Dallas,January 2024,no,a flight attendant was extremely rude to the elderly wheelchairbound passenger seated next to me for unzipping her dogs crate just enough for him to stick his head out the crate was on the floor beneath the seat in front rather than politely telling her that the case must be fully closed he treated her like a child and loudly demanded that she close it immediately i was appalled that a southwest employee would be so unnecessarily rude to a passenger,flight attendant extremely rude elderly wheelchairbound passenger seated next unzipping dogs crate enough stick head crate floor beneath seat front rather politely telling case must fully closed treated like child loudly demanded close immediately appalled southwest employee would unnecessarily rude passenger,NEG
